Vin,Dealer_ID
1GYS3AKJ3FR396497,7
JH4KC1F56EC789719,22
WBSBL93496P970862,11
WA1DMAFP0FA028345,22
YV1672MWXB2702196,27
WAUUL68E25A999179,29
WBAUT9C54BA413120,30
JTDKN3DP9E3032115,22
1GKS1GEJ9DR915984,30
WAULFAFR8DA161653,14
1B3BD2FB1BN283727,14
WBAPK5C55AA216125,16
1G6DL8EGXA0419748,12
WBA5M0C53ED215452,7
WAUDL54F35N130690,14
WA1CM74L99D079585,25
19UUA75618A705577,14
3VW517ATXEM629979,22
2T1BU4EE4BC930582,1
SCBDR33W37C557473,15
JTEBU4BF0EK685503,18
KMHCT4AE4FU246388,5
1D4PT2GK6AW801168,14
WAUAC48H05K516753,10
5GADT13S152942695,28
1G6DF5EG0A0221895,13
3D7JV1EP5BG880375,11
KMHTC6AD2CU247540,30
5UXFA93586L720901,20
3GYT4MEF3BG092493,13
3D7TT2CT0BG911018,9
5GADX23L05D648566,30
SCBBP9ZAXAC963561,28
3C4PDCAB0FT047559,14
WAUEV94F88N406520,15
4T1BF3EK4BU138716,3
1FTMF1EW5AK653736,19
4JGDF2EE9FA307777,13
JM1GJ1T66F1817963,11
WDDGF4HB9DA769547,3
1FMCU4K37AK821966,15
WA1CFAFP0BA923835,16
JN8AF5MR3CT211872,11
3D73Y3CL8AG475363,1
WBA3B1C5XFP658961,18
1FTSX2B50AE824901,12
2G4GK5EXXF9779073,27
3MZBM1L72EM925098,28
WAULC58E24A672124,29
WAUFEAFM4DA606894,30
WBAPK5C56BF306534,8
2G4GR5GX5F9106958,4
5N3ZA0NC1AN890457,26
5J8TB3H57GL670096,12
5TDDK4CC9AS228764,24
JN8AF5MR8DT149578,5
WBABV13486J250567,18
JM1NC2JF6C0166197,20
5FRYD4H95GB026962,4
1G6AJ5S37D0033768,4
2G4WE537051711092,18
2D4RN7DG9BR079186,10
3GYFNAEY5AS739322,16
1N6AA0EDXFN342304,22
WBAVA33567F271547,27
1G6KF57981U980258,23
2G4WC582081171928,11
2B3CA8CT2AH852993,30
SALFR2BN5AH704341,1
1GYS3CEF2CR309963,27
JM1BL1K56B1268904,24
WA1DGBFE4DD500733,21
WAULC68E85A524194,15
KMHHT6KD2AU215169,20
5N1AR1NB5AC150076,11
KNDMG4C74C6752640,4
3VWF17AT7FM283704,22
1ZVBP8AMXB5753204,9
KMHCM3AC7AU140760,3
JH4KB16577C035900,18
JM1DE1HY7B0520198,4
1HGCR2E73FA117841,23
WBAUP93588V368253,9
19UUA9F23BA415940,16
1D4PT2GK1AW579395,4
WAUVT68E13A618164,15
WBAWV13518P849658,30
WBA3V5C58F5269603,29
1FT7W2A63EE833553,15
1D7CE2BK0AS941517,13
JH4CL95954C602038,12
WAULC68E55A954202,23
SCBGR3ZA9CC467361,28
WAUKF78E76A387663,6
KL4CJBSBXFB408940,26
3GYVKLEFXAG108681,15
WP1AA2A28BL722293,6
SALSF2D45BA992805,30
3D7TT2CT4AG431210,11
WVWED7AJ1DW017757,16
WBAUP9C5XCV520915,4
WBA3B1C5XF5176759,22
1G6DJ1E36D0877351,4
WA1WMAFP2EA827292,17
1C4RJEAGXEC476551,13
WBAEB5C59AC574131,19
WAUBGAFBXAN015822,12
5NPDH4AE7DH379633,3
1D4PU2GK5AW972183,15
KMHTC6AD4FU992925,28
1G6AB5RX8F0595543,12
WAUUL78E57A859457,24
SCBGU3ZA7FC244559,16
JH4CU2F61AC449551,23
1G6DJ5EV7A0425980,7
WA1EY74L67D874670,20
3N1AB6AP9AL121274,6
WVWAN7AN3DE603509,6
SCFHDDAJ1CA091012,7
2G4WC582281208252,29
SCFHDDAJ7BA376537,3
1GYS4EEJXBR396104,29
TRUWC28N121165622,25
WA1UFAFL0EA193138,1
JN1BJ0HR2FM636271,22
1G6AX5S30F0528413,7
WAURFAFR6EA580709,2
1FMJK1H55BE783206,23
3VW4A7AT2CM375502,29
KNALW4D43F6414425,5
1C4RDHDG1FC773715,22
WVWED7AJ9DW653391,29
2T2BK1BA7EC104315,18
WAUMFAFL8AA841970,17
WBA3B9C5XDJ475462,30
JTDKDTB35C1005294,29
WBAVA33558K182223,21
YV1960AS8A1124691,1
WAUHGAFCXFN618408,30
JTDKN3DU1B0038395,2
WA1CGAFP6FA707751,24
WAUBG78E46A242318,5
4T1BF1FKXDU450268,1
JTJBC1BA3A2454788,20
WAU4FAFL5BA036591,14
WAUKH98EX6A183364,15
WAUXD68DX2A134005,20
SALVE2BG5FH525149,3
1G6DD8E34E0637880,12
KMHHT6KD4CU468660,7
1FTSW3B59AE791650,22
5GAKVCKDXDJ894697,27
WBA5B1C5XFG996594,28
1N6AA0CC5CN078544,20
1C4RDHAG3CC800431,2
WBAKP9C54ED120235,14
JH4DC53856S165979,20
WAUYGBFC9DN702349,27
WBAVB33506A339561,17
3GYFNCE3XFS181992,19
1GYS4BKJ0FR078582,12
WBABN53472J632915,18
2C3CDXGJ9DH368059,25
1G6DL5E36C0281673,26
JA32X2HU4CU848739,7
5N1AA0ND4FN450707,26
JN8AZ1MUXCW664888,13
WAUUFAFH2DN760651,3
WAUJFAFH8BN187321,3
5J8TB2H22AA306297,5
WBAPH53529A170263,12
WBABS33412P000535,24
1G6AL5SXXD0009140,9
WDCYC3HF2CX806934,19
3N1AB7AP8FL077054,28
1N6AA0CA0AN721894,11
1FTSW3B59AE343439,1
WBAVB13586P033869,26
WAUJFAFH8DN131303,18
ZFBCFAAH5EZ972883,13
KMHTC6AD5DU685342,5
